rem	rien
i*nfantem	enfant
gaudi*am	joie
vine*am	vigne
vi*du*am	veuve
co*agulare	cailler
cohortem	cour
cooperire	couvrir
quiritare	crier
ta*bu*lam	table
vi*ri*dem	vert
cali*dum	chaud
maledice*re	maudire
cantaraio	chanterai
nu*trituram	nourriture
appellare	appeler
dormitori*um	dortoir
computare	compter
stellam	étoile
arbo*rem	arbre
lecti*onem	leçon
flu*ctuare	flotter
exagi*um	essai
me*di*e*tatem	moitié
poenam	peine
caelum	ciel
scolam	école
stabu*lam	étable
ce*ruum	cerf
ge*ni*ta	gente
cere*si*am	cerise
cellari*um	cellier
ni*ve*a	neige
du*lci*a	douce
fo*rti*a	force
di*u*rnum	jour
calce*are	chausser
iurare	jurer
sabi*um	sage
sapi*am	sache
rati*onem	raison
fu*si*onem	foison
grassi*a	graisse
glaci*am	glasse
pari*a	paire
pale*a	paille
montane*a	montagne
placere	plaisir
vinci*t	vainc
longe	loin
si*gnum	seing
pe*dem	pied
pe*tra	pierre
bo*ves	boeufs
bo*vem	boeuf
cor	coeur
le*ctum	lit
no*cte	nuit
nu*me*rum	nombre
fugi*o	fuis
legem	loi
auri*cu*lam	oreille
vi*gi*lare	veiller
flagrare	flairer
laxare	laisser
factum	fait
necare	noyer
lo*cos	lieux
ruga	rue
securum	sûr
ueracum	vrai
viva	vive
su*bumbrare	sombrer
probare	prouver
habunt	ont
pauorem	peur
sapere	savoir
malifati*um	mauvais
labra	lèvre
o*pe*ra	oeuvre
aurum	or
saluam	sauve
mo*rtuum	mort
galbi*num	jaune
cane	chien
caballum	cheval
pensu	poids
moneta	monnaie
nodu	noeud
flore	fleur
nasu	nez
sal	sel
mutare	muer
laudare	louer
uendunt	vendent
matrem	mère
homi*nem	homme
te*pi*dum	tiède
de*um	dieu
grandem	grand
maium	mai
cu*ne*um	coin
fructum	fruit
o*cto	huit
ru*pta	route
fu*rnus	four
ru*mpit	rompt
caballicare	chevaucher
te*mpus	temps
bo*num	bon
panem	pain
ui*rtutem	vertu
usare	user
du*bi*tare	douter
portatum	porté
debet	doit
tempe*stam	tempête
insu*la	île
alba	aube
capi*llos	cheveux
co*la*pum	coup
gentilis	gentil
puli*cem	puce
caelos	cieux
o*cu*los	yeux
promi*tte*re	promettre
debere	devoir
responde*re	répondre
uolere	vouloir
tu*rrem	tour
co*stam	côte
laudas	loues
clausum	clos
causam	chose
maturum	mûr
pastam	pâte
cantare	chanter
po*tet	peut
pi*ra	poire
nepotem	neveu
carum	cher
li*ngua	langue
amarum	amer
se*ni*orem	seigneur
bonitatem	bonté
uecinum	voisin
brunum	brun
uecinam	voisine
brunam	brune
plenum	plein
plenam	pleine
co*mi*tem	comte
cleri*cum	clerc
gro*ssum	gros
gro*ssam	grosse
bassum	bas
bassam	basse
manducare	manger
cleta	claie
haga	haie
cera	cire
pi*lum	poil
luna	lune
ali*cunu	aucun
arge*ntum	argent
ge*nu*cu*los	genoux
orati*one	oraison
ci*ne*re	cendre
noti*ti*a	notice
capi*llum	cheveu
ce*re*be*llum	cerveau
ce*re*be*lla	cervelle
mel	miel
perti*ca	perche
lumi*nari*a	lumière
toni*tru	tonnerre
caminu*m	chemin
crede*re	croire
libe*rare	livrer
came*ra	chambre
i*llos	eux
i*llas	elles
mo*le*re	moudre
feri*a	foire
le*ge*re	lire
ru*be*a	rouge
pro*pe*anum	prochain
mansi*onem	maison
caballi*cante	chevauchant
bi*be*re	boire
